WarehouseID,WarehouseManager
1,Avi Cohen
2,Yossi Levi
3,Ronit Mizrahi
4,Shira Katz
5,Itzhak Peretz
6,Moshe Hassan
7,Noa Goldstein
8,Eitan Abramov
9,Michal Ohayon
10,David Friedman
11,Omer Biton
12,Tali Rosenberg
13,Idan Azulay
14,Maya Gabay
15,Lior Ashkenazi
16,Guy Shachar
17,Adi Vaknin
18,Yuval Elbaz
19,Amit Segal
20,Dana Regev
21,Shlomi Dahan
22,Rina Malka
23,Ziv Avraham
24,Galit Shapira
25,Erez Hadad
26,Inbal Mor
27,Nir Golan
28,Sivan Weiss
29,Tomer Levin
30,Hila Klein
31,Barak Amar
32,Sigal Ben-David
33,Assaf Guez
34,Keren Atias
35,Yaniv Sarusi
36,Limor Pinto
37,Doron Sharabi
38,Revital Shpigel
39,Matan Bareket
40,Orly Natan
41,Boaz Turgeman
42,Yael Aviv
43,Roni Shimoni
44,Neta Golan
45,Tal Schwartz
46,Gilad Marcus
47,Einat Koren
48,Uriel Harush
49,Orit Gabai
50,Dani Bar-On
51,Eyal Luzon
52,Batya Shmueli
53,Yair Melamed
54,Moran Zinger
55,Itay Swissa
56,Liat Ben-Ari
57,Dror Ben-Ami
58,Shani Raphael
59,Shahar Zilberman
60,Iris Yaakov
61,Aviad Edry
62,Osnat Ben-Haim
63,Ehud Kaplan
64,Gal Bahar
65,Meir Ohana
66,Dafna Rubin
67,Ofer Segal
68,Chen Israeli
69,Gadi Arad
70,Efrat Peleg
71,Shlomo Barkat
72,Michaela Blum
73,Yonatan Gal
74,Avital Navon
75,Nissan Vaknin
76,Ilana Cohen
77,Zeev Baron
78,Tamar Rotem
79,Shimon Ariel
80,Esther Landau
81,Ariel Sela
82,Leah Diamant
83,Menachem Perry
84,Dina Shaked
85,Rami Shalem
86,Pnina Gur
87,Yaakov Sadeh
88,Miriam Alon
89,Yisrael Ben-Zvi
90,Sara Kedem
91,Moshe Rabinovitch
92,Rivka Shavit
93,Avraham Gefen
94,Hana Lavi
95,Yitzhak Tal
96,Bracha Naveh
97,Mordechai Even
98,Tzipora Raz
99,Chaim Golan
100,Rachel Manor
101,Aharon Erez
102,Elisheva Carmel
103,Shmuel Bar
104,Devorah Or
105,Yosef Shai
106,Tova Agmon
107,Pinhas Telem
108,Mazal Sapir
109,Gershon Yaniv
110,Yocheved Harel
111,Eliezer Shahar
112,Malka Ziv
113,Asher Shoval
114,Shifra Dotan
115,Yehuda Almog
116,Nechama Zamir
117,Zalman Gilboa
118,Hadassah Kerem
119,Shalom Ron
120,Geula Ben-Yosef
121,Baruch Peled
122,Bila Amit
123,Meshulam Galon
124,Simcha Barak
125,Akiva Sivan
126,Feiga Ben-Hur
127,Yedidia Tzur
128,Hinda Shalev
129,Yair Lapid
130,Golda Meir
131,Ezer Weizman
132,Chaim Herzog
133,Moshe Dayan
134,Golda Cohen
135,Yigal Allon
136,Teddy Kollek
137,Abba Eban
138,Menachem Begin
139,Yitzhak Rabin
140,Shimon Peres
141,Benjamin Netanyahu
142,Ariel Sharon
143,Ehud Barak
144,Ehud Olmert
145,Naftali Bennett
146,Yair Levi
147,Ayelet Shaked
148,Miri Regev
